Date,Hour,Interval,Wind Curtailment,Solar Curtailment
01/01/2020,9,5,,2
01/01/2020,9,6,,10
01/01/2020,9,10,,1
01/01/2020,9,11,40,153
01/01/2020,9,12,27,162
01/01/2020,10,1,,25
01/01/2020,10,3,,2
01/01/2020,10,4,,3
01/01/2020,10,6,40,322
01/01/2020,10,7,20,292
01/01/2020,10,8,44,406
01/01/2020,10,9,32,337
01/01/2020,10,10,46,524
01/01/2020,10,11,44,425
01/01/2020,10,12,26,254
01/01/2020,11,1,34,203
01/01/2020,11,2,33,121
01/01/2020,11,3,33,187
01/01/2020,11,4,44,278
01/01/2020,11,5,41,410
01/01/2020,11,6,41,1236
01/01/2020,11,7,41,1135
01/01/2020,11,8,41,1434
01/01/2020,11,9,40,1436
01/01/2020,11,10,62,1609
01/01/2020,11,11,70,1667
01/01/2020,11,12,39,1431
01/01/2020,12,1,39,1132
01/01/2020,12,2,37,1007
01/01/2020,12,3,39,1226
01/01/2020,12,4,74,1905
01/01/2020,12,5,66,1856
01/01/2020,12,6,69,1451
01/01/2020,12,7,36,1100
01/01/2020,12,8,34,1014
01/01/2020,12,9,35,1087
01/01/2020,12,10,34,1333
01/01/2020,12,11,34,1282
01/01/2020,12,12,32,585
01/01/2020,13,1,24,249
01/01/2020,13,2,30,435
01/01/2020,13,3,34,772
01/01/2020,13,4,34,1053
01/01/2020,13,5,181,1399
01/01/2020,13,6,141,1367
01/01/2020,13,7,154,1462
01/01/2020,13,8,199,1892
01/01/2020,13,9,195,1985
01/01/2020,13,10,285,2068
01/01/2020,13,11,296,2272
01/01/2020,13,12,289,1960
01/01/2020,14,1,200,1824
01/01/2020,14,2,156,1692
01/01/2020,14,3,194,1883
01/01/2020,14,4,193,1889
01/01/2020,14,5,153,1825
01/01/2020,14,6,35,1464
01/01/2020,14,7,36,1422
01/01/2020,14,8,35,1413
01/01/2020,14,9,128,1381
01/01/2020,14,10,36,1385
01/01/2020,14,11,36,1123
01/01/2020,14,12,37,1146
01/01/2020,15,1,34,876
01/01/2020,15,2,25,572
01/01/2020,15,3,38,1180
01/01/2020,15,4,37,1287
01/01/2020,15,5,37,1127
01/01/2020,15,6,24,597
01/01/2020,15,7,19,229
01/01/2020,15,8,3,85
01/01/2020,15,9,34,377
01/01/2020,15,10,30,271
01/01/2020,15,11,43,656
01/01/2020,15,12,35,572
01/01/2020,16,1,33,804
01/01/2020,16,2,42,1104
01/01/2020,16,3,35,855
01/01/2020,16,4,36,1168
01/01/2020,16,5,31,677
01/01/2020,16,6,,16
01/01/2020,16,7,,7
02/01/2020,2,6,1,
02/01/2020,8,2,,21
02/01/2020,8,6,,3
02/01/2020,8,7,,12
02/01/2020,8,12,,3
02/01/2020,9,5,,55
02/01/2020,9,6,,54
02/01/2020,9,8,,29
02/01/2020,9,9,,53
02/01/2020,9,10,,246
02/01/2020,9,11,,297
02/01/2020,9,12,,400
02/01/2020,10,1,,29
02/01/2020,10,2,,245
02/01/2020,10,3,,294
02/01/2020,10,4,,77
02/01/2020,10,5,,62
02/01/2020,10,6,6,117
02/01/2020,10,7,,96
02/01/2020,10,8,4,141
02/01/2020,10,9,4,160
02/01/2020,10,10,5,363
02/01/2020,10,11,5,362
02/01/2020,10,12,5,539
02/01/2020,11,1,5,699
02/01/2020,11,2,6,674
02/01/2020,11,3,5,614
02/01/2020,11,4,5,592
02/01/2020,11,5,5,611
02/01/2020,11,6,5,558
02/01/2020,11,7,4,786
02/01/2020,11,8,4,520
02/01/2020,11,9,4,485
02/01/2020,11,10,4,602
02/01/2020,11,11,4,592
02/01/2020,11,12,4,604
02/01/2020,12,1,4,264
02/01/2020,12,2,4,233
02/01/2020,12,3,4,145
02/01/2020,12,4,3,232
02/01/2020,12,5,3,301
02/01/2020,12,6,3,280
02/01/2020,12,7,3,400
02/01/2020,12,8,3,532
02/01/2020,12,9,4,556
02/01/2020,12,10,3,605
02/01/2020,12,11,3,575
02/01/2020,12,12,3,557
02/01/2020,13,1,3,1003
02/01/2020,13,2,3,883
02/01/2020,13,3,2,902
02/01/2020,13,4,2,708
02/01/2020,13,5,2,654
02/01/2020,13,6,2,673
02/01/2020,13,7,2,615
02/01/2020,13,8,3,617
02/01/2020,13,9,3,621
02/01/2020,13,10,3,631
02/01/2020,13,11,2,654
02/01/2020,13,12,3,654
02/01/2020,14,1,33,527
02/01/2020,14,2,14,451
02/01/2020,14,3,2,386
02/01/2020,14,4,53,480
02/01/2020,14,5,72,474
02/01/2020,14,6,68,520
02/01/2020,14,7,47,514
02/01/2020,14,8,52,486
02/01/2020,14,9,60,468
02/01/2020,14,10,42,496
02/01/2020,14,11,56,502
02/01/2020,14,12,47,483
02/01/2020,15,1,2,418
02/01/2020,15,2,2,383
02/01/2020,15,3,2,385
02/01/2020,15,4,1,496
02/01/2020,15,5,1,495
02/01/2020,15,6,33,499
02/01/2020,15,7,42,442
02/01/2020,15,8,48,451
02/01/2020,15,9,36,467
02/01/2020,15,10,17,431
02/01/2020,15,11,1,405
02/01/2020,15,12,2,331
02/01/2020,16,1,1,395
02/01/2020,16,2,1,136
02/01/2020,16,3,,98
02/01/2020,16,4,,47
02/01/2020,16,5,,3
03/01/2020,8,1,,1
03/01/2020,8,2,,7
03/01/2020,9,5,,19
03/01/2020,9,6,,47
03/01/2020,9,7,,40
03/01/2020,9,8,,65
03/01/2020,9,9,,100
03/01/2020,9,10,,99
03/01/2020,9,11,,222
03/01/2020,9,12,,211
03/01/2020,10,1,46,209
03/01/2020,10,2,38,207
03/01/2020,10,3,58,207
03/01/2020,10,4,,139
03/01/2020,10,5,,5
03/01/2020,10,6,,29
03/01/2020,10,7,,104
03/01/2020,10,9,,113
03/01/2020,10,10,,25
03/01/2020,10,11,,106
03/01/2020,10,12,,25
03/01/2020,11,1,,196
03/01/2020,11,2,,252
03/01/2020,11,3,,249
03/01/2020,11,4,,222
03/01/2020,11,5,,205
03/01/2020,11,6,,189
03/01/2020,11,7,,267
03/01/2020,11,8,,314
03/01/2020,11,9,,347
03/01/2020,11,10,,380
03/01/2020,11,11,,378
03/01/2020,11,12,,360
03/01/2020,12,1,,225
03/01/2020,12,2,,85
03/01/2020,12,3,,73
03/01/2020,12,4,,134
03/01/2020,12,5,,165
03/01/2020,12,6,,180
03/01/2020,12,7,,79
03/01/2020,12,8,,35
03/01/2020,12,9,,146
03/01/2020,12,10,,84
03/01/2020,12,11,,86
03/01/2020,12,12,,260
03/01/2020,13,1,,569
03/01/2020,13,2,,579
03/01/2020,13,3,,632
03/01/2020,13,4,,621
03/01/2020,13,5,,617
03/01/2020,13,6,,497
03/01/2020,13,7,,449
03/01/2020,13,8,,413
03/01/2020,13,9,,454
03/01/2020,13,10,,461
03/01/2020,13,11,,451
03/01/2020,13,12,,460
03/01/2020,14,1,,293
03/01/2020,14,2,,263
03/01/2020,14,3,,144
03/01/2020,14,4,,246
03/01/2020,14,5,,192
03/01/2020,14,6,,253
03/01/2020,14,7,,247
03/01/2020,14,8,,180
03/01/2020,14,9,,212
03/01/2020,14,10,,230
03/01/2020,14,11,,177
03/01/2020,14,12,,93
03/01/2020,15,1,,136
03/01/2020,15,2,,208
03/01/2020,15,3,,126
03/01/2020,15,4,,109
03/01/2020,15,5,,209
03/01/2020,15,6,,131
03/01/2020,15,7,,133
03/01/2020,15,8,,11
03/01/2020,15,9,,10
03/01/2020,15,10,,89
03/01/2020,15,11,,92
03/01/2020,15,12,,66
03/01/2020,16,5,,8
03/01/2020,16,7,,9
03/01/2020,16,8,,42
03/01/2020,16,9,,32
03/01/2020,16,10,,5
03/01/2020,16,11,,4
03/01/2020,16,12,,3
03/01/2020,17,1,,2
03/01/2020,22,7,1,
04/01/2020,1,1,4,
04/01/2020,8,1,,2
04/01/2020,8,2,,8
04/01/2020,8,11,,3
04/01/2020,9,2,,2
04/01/2020,9,5,,5
04/01/2020,9,7,,1
04/01/2020,9,9,,5
04/01/2020,9,10,,6
04/01/2020,10,1,,6
04/01/2020,10,3,,9
04/01/2020,10,4,,58
04/01/2020,10,5,,99
04/01/2020,10,6,,129
04/01/2020,10,7,,180
04/01/2020,10,8,,189
04/01/2020,10,9,,201
04/01/2020,10,10,,267
04/01/2020,10,11,,278
04/01/2020,10,12,,301
04/01/2020,11,1,,272
04/01/2020,11,2,,258
04/01/2020,11,3,,251
04/01/2020,11,4,,235
04/01/2020,11,5,,206
04/01/2020,11,6,,194
04/01/2020,11,7,,211
04/01/2020,11,8,,223
04/01/2020,11,9,,218
04/01/2020,11,10,,214
04/01/2020,11,11,,202
04/01/2020,11,12,,200
04/01/2020,12,1,,211
04/01/2020,12,2,,231
04/01/2020,12,3,,229
04/01/2020,12,4,,228
04/01/2020,12,5,,229
04/01/2020,12,6,,236
04/01/2020,12,7,,245
04/01/2020,12,8,,250
04/01/2020,12,9,,257
04/01/2020,12,10,,245
04/01/2020,12,11,,236
04/01/2020,12,12,,234
04/01/2020,13,1,,304
04/01/2020,13,2,,286
04/01/2020,13,3,,279
04/01/2020,13,4,,345
04/01/2020,13,5,,408
04/01/2020,13,6,,403
04/01/2020,13,7,2,572
04/01/2020,13,8,4,562
04/01/2020,13,9,,469
04/01/2020,13,10,,287
04/01/2020,13,11,,519
04/01/2020,13,12,13,1188
04/01/2020,14,1,13,1054
04/01/2020,14,2,,501
04/01/2020,14,3,,393
04/01/2020,14,4,,502
04/01/2020,14,5,,373
04/01/2020,14,6,,368
04/01/2020,14,7,,259
04/01/2020,14,8,,312
04/01/2020,14,9,,254
04/01/2020,14,10,,242
04/01/2020,14,11,,271
04/01/2020,14,12,,264
04/01/2020,15,1,,239
04/01/2020,15,2,,225
04/01/2020,15,3,,242
04/01/2020,15,4,,200
04/01/2020,15,5,,189
