Name,State,Latitude,Longitude
0bdc7db2ea74d09c,BritishIsles,60.75,0.0
16e2ef7a909ceb12,BritishIsles,60.75,1.5
67769412e8e88344,BritishIsles,60.75,3.0
b4a7418f8c1cf3f1,BritishIsles,60.75,-9.75
76b03bd3f13fc53f,BritishIsles,60.75,-8.25
54d967fdd719d60a,BritishIsles,60.75,-6.75
d6fe98acac52436d,BritishIsles,60.75,-5.25
5df023d4eae2c5e6,BritishIsles,60.75,-3.75
037e8babea2ed051,BritishIsles,60.75,-2.25
923b3f25173bfb21,BritishIsles,60.75,-0.75
4c5c6dd9bcb355b2,BritishIsles,59.25,0.0
7a4650b3d3824c55,BritishIsles,59.25,1.5
c4d870032bff3e38,BritishIsles,59.25,3.0
5e85df71827ff03b,BritishIsles,59.25,-9.75
d2f1f1d2c3854bce,BritishIsles,59.25,-8.25
9a1595022011b6b4,BritishIsles,59.25,-6.75
828cbd48bbef0fe6,BritishIsles,59.25,-5.25
f68bf40b7ee1b8b4,BritishIsles,59.25,-3.75
45d8bd416895d0b2,BritishIsles,59.25,-2.25
92307b4d33cb7944,BritishIsles,59.25,-0.75
d4b9781e2efae54e,BritishIsles,57.75,0.0
a51bf596ccff4558,BritishIsles,57.75,1.5
8f9345ff57f22a3a,BritishIsles,57.75,3.0
7de7e066f357df3e,BritishIsles,57.75,-9.75
2d73ff54042bcaf9,BritishIsles,57.75,-8.25
80bb4b86da61bd4f,BritishIsles,57.75,-6.75
286fe0cc3fd42b2f,BritishIsles,57.75,-5.25
272246cceab3553f,BritishIsles,57.75,-3.75
6d0d631819cd9006,BritishIsles,57.75,-2.25
89ec6a63fb03ff22,BritishIsles,57.75,-0.75
0b26ca0c8743d96f,BritishIsles,56.25,0.0
578834722f0861f5,BritishIsles,56.25,1.5
a1f05c8bb4e627fd,BritishIsles,56.25,3.0
02533f4d4646a3b4,BritishIsles,56.25,-9.75
2c0f8fdaa442ebbc,BritishIsles,56.25,-8.25
63949daad45fcd0c,BritishIsles,56.25,-6.75
4bc5fad1740ff1d1,BritishIsles,56.25,-5.25
db3340a884ff137b,BritishIsles,56.25,-3.75
8365a37a159783f9,BritishIsles,56.25,-2.25
c62c8f510f212859,BritishIsles,56.25,-0.75
6a865e0875f770a7,BritishIsles,54.75,0.0
fe43591d8fae25d5,BritishIsles,54.75,1.5
da23601476531f49,BritishIsles,54.75,3.0
f9b79e1dc298f20b,BritishIsles,54.75,-9.75
df1dbe0ffd06fb78,BritishIsles,54.75,-8.25
8e8efb9312913b3e,BritishIsles,54.75,-6.75
2496ee743b32955a,BritishIsles,54.75,-5.25
f0e99fe5abedc72f,BritishIsles,54.75,-3.75
3cb87b6b3e35bb8a,BritishIsles,54.75,-2.25
1430b7c6d331e500,BritishIsles,54.75,-0.75
2826b40dcaf5d61f,BritishIsles,53.25,0.0
77c988c9be343704,BritishIsles,53.25,1.5
99bba579672c6f41,BritishIsles,53.25,3.0
42d99861cc02b6f6,BritishIsles,53.25,-9.75
c2df25cb164f7edc,BritishIsles,53.25,-8.25
ac1494ed7df044da,BritishIsles,53.25,-6.75
6c962a8f5e84c432,BritishIsles,53.25,-5.25
4d817bde4beeeb2e,BritishIsles,53.25,-3.75
8a0dde669463c095,BritishIsles,53.25,-2.25
f225cf5a536b758f,BritishIsles,53.25,-0.75
75cea3f293ca2efa,BritishIsles,51.75,0.0
efc0fddde2a10319,BritishIsles,51.75,1.5
9f8d85d682eadfa8,BritishIsles,51.75,3.0
6bd5c167098f824f,BritishIsles,51.75,-9.75
1cfe25501b3663c3,BritishIsles,51.75,-8.25
cb89eb3d6440ff09,BritishIsles,51.75,-6.75
85f1ea9550f60e01,BritishIsles,51.75,-5.25
9615d5d4abe1043d,BritishIsles,51.75,-3.75
49ad7916e27ab327,BritishIsles,51.75,-2.25
a3c1d6dec7ccbab6,BritishIsles,51.75,-0.75
808e0d0f99f39c69,BritishIsles,50.25,0.0
255298dfb00f1a30,BritishIsles,50.25,1.5
fb50b6ca5e821f5a,BritishIsles,50.25,3.0
7b08cf1817252014,BritishIsles,50.25,-9.75
95902207422b9579,BritishIsles,50.25,-8.25
390b4d45656b5f8a,BritishIsles,50.25,-6.75
93249c85bb2835e9,BritishIsles,50.25,-5.25
28b94763ff4308bd,BritishIsles,50.25,-3.75
21d25ec794017430,BritishIsles,50.25,-2.25
20d68b3cb6f1c7c6,BritishIsles,50.25,-0.75
f490d0336ff119cf,BritishIsles,48.75,0.0
bb6a18abc6010c11,BritishIsles,48.75,1.5
b6bae2212f930dfe,BritishIsles,48.75,3.0
1a37897f85b341cb,BritishIsles,48.75,-9.75
db607b7f366614c2,BritishIsles,48.75,-8.25
f6974d94c7b5ea02,BritishIsles,48.75,-6.75
3c187781bcf66438,BritishIsles,48.75,-5.25
c94dd57ce411e1ac,BritishIsles,48.75,-3.75
64c27517018cd0f3,BritishIsles,48.75,-2.25
0d04d0d28f5220f5,BritishIsles,48.75,-0.75
b808208345ea2fc6,BritishIsles,47.25,0.0
4a2ea17081739884,BritishIsles,47.25,1.5
eb60ef80a1b047e0,BritishIsles,47.25,3.0
783ceaa2b9939845,BritishIsles,47.25,-9.75
ec2752539533fa49,BritishIsles,47.25,-8.25
91ada5f252f29d41,BritishIsles,47.25,-6.75
cd847d57bebdf4f7,BritishIsles,47.25,-5.25
4e798b2a93645857,BritishIsles,47.25,-3.75
f4272f9121fb9fa2,BritishIsles,47.25,-2.25
1d2bad333b50ac7c,BritishIsles,47.25,-0.75
