Year,Fires,Acers,Solar Gen
1987,13476,873000,
1988,13290,345000,
1989,10024,173400,
1990,10548,365200,
1991,9609,44200,
1992,12047,282745,
1993,8689,309779,
1994,10269,526219,
1995,8492,209815,
1996,10610,752372,
1997,9502,283885,
1998,7572,215412,
1999,11125,1172850,
2000,7622,295026,
2001,9317,377340,542
2002,8171,538216,554
2003,8287,965770,534
2004,7898,311024,571
2005,7237,279214,537
2006,7855,863345,495
2007,6043,1520362,557
2008,6255,1593690,670
2009,7010,451969,647
2010,6394,134462,769
2011,7732,228599,889
2012,7041,829224,1382
2013,8889,601635,3814
2014,7233,625540,9932
2015,8283,880899,14814
2016,6959,669534,18807
2017,9270,1548429,24353
2018,7948,1975086,26985
2019,7148,277285,28332
2020,8648,4304379,30273
2021,7369,2569386,34864
2022,7667,363939,
