Name,State,Latitude,Longitude
Hunstville,Alabama,34.7304,83.5861
Anchorage,Alaska,61.2176,149.8997
Pheonix,Arizona,33.4484,112.0740
Little Rock,Arkanas,34.7445,92.2880
Atlanta,Georgia,33.7488,84.3877
Boise,Idaho,43.6150,116.2023
Witchita,Kansas,37.6872,97.3301
Louisville,Kentucky,38.2527,85.7585
New Orleans,Louisiana,29.9511,90.0715
Jackson,Mississippi,32.2988,90.1848
Kansas City,Missouri,30.0997,94.5786
Billings,Montana,45.7533,108.5007
Omaha,Nebraska,41.2565,95.9345
Fargo,North Dakota,46.8772,96.7898
Oklahoma City,Oklahoma,35.4676,97.5164
Charleston,South Carolina,32.7765,79.9311
Sioux Falls,South Dakota,43.5460,96.7313
Nashville,Tennessee,36.1627,86.7816
Houston,Texas,29.7604,95.3698
Salt Lake City,Utah,40.7608,111.8910
Charleston,West Virginia,38.3498,81.6326
Cheyenne,Wyoming,41.1400,104.8202
