postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,Lat_precise,Long_precise
872,274,5145,3.3,7674,825,2698,4151,172,92,10,734,"4,696",1.2,-25.1299,132.57
5000,1091,3134,24.7,16650,2949,9905,3796,774,314,3,134692,"862,032",183.9,-34.9328294,138.6038129
5006,755,2838,22.8,4914,2585,2329,0,648,107,0,63396,"405,734",87.0,-34.9091145,138.5962997
5007,1107,3530,26.6,8437,3751,4686,0,938,169,0,73487,"470,314",101.6,-34.904,138.579
5008,2274,6273,33.3,15804,9258,3946,2600,2087,186,1,107917,"690,669",148.8,-34.898,138.564
5009,1017,2269,38.3,7164,3719,3445,0,870,147,0,77392,"495,311",107.8,-34.904,138.555
5010,1137,2301,43.9,11228,4539,4369,2320,1009,122,6,91472,"585,419",127.8,-34.859,138.561
5011,2151,5609,34.6,13897,9427,3926,544,1938,211,2,89614,"573,529",123.2,-34.871,138.53
5012,1876,5116,34.2,10709,7906,2803,0,1749,127,0,86262,"552,075",119.6,-34.858,138.543
5013,2061,4593,37.3,19559,7421,10697,1441,1712,345,4,221205,"1,415,715",310.0,-34.841,138.527
5014,2209,5968,33.9,13687,8571,4622,494,2023,183,3,110802,"709,131",153.2,-34.878,138.521
5015,1117,2815,35.1,8146,4012,3219,915,987,129,1,90701,"580,489",125.4,-34.8360061,138.4999707
5016,1885,3899,45.2,9439,7344,2095,0,1763,122,0,67354,"431,066",92.7,-34.821,138.494
5017,915,2139,41.0,4594,3631,963,0,878,37,0,44905,"287,391",63.1,-34.798889,138.491111
5018,1441,2741,50.7,6137,5262,875,0,1389,52,0,43409,"277,820",60.1,-34.7864711,138.4937213
5019,1822,4201,40.7,8241,6587,1654,0,1710,112,0,55692,"356,429",78.5,-34.8364363,138.4899721
5020,681,1490,42.8,3436,2736,700,0,637,44,0,19669,"125,885",27.7,-34.86349,138.4862231
5021,1485,2803,49.0,7702,5832,1870,0,1373,112,0,44764,"286,488",63.1,-34.8722171,138.496221
5022,3193,6311,45.4,16864,12157,4507,200,2867,325,1,96485,"617,507",136.1,-34.9,138.489
5023,2716,7655,33.2,14830,11098,3477,255,2539,176,1,104980,"671,872",148.1,-34.9004716,138.5312279
5024,2720,5477,44.8,14543,10691,3852,0,2454,266,0,91087,"582,960",128.4,-34.927,138.512
5025,1627,3496,42.2,8946,6570,2376,0,1474,153,0,66512,"425,678",94.2,-34.908,138.546
5031,1544,4610,28.2,12553,5766,5943,844,1301,241,2,119906,"767,397",165.3,-34.925278,138.560833
5032,2195,5402,36.3,12784,8809,3645,330,1959,235,1,83737,"535,919",118.3,-34.9286646,138.5464066
5033,1276,3984,28.3,8885,4922,3752,211,1127,148,1,73103,"467,862",103.8,-34.931,138.557
5034,1729,3207,47.1,10492,6582,3736,174,1512,216,1,69857,"447,088",95.6,-34.963,138.586
5035,940,1930,43.8,5701,3550,2151,0,845,95,0,53146,"340,137",75.1,-34.949,138.574
5037,1795,4765,34.8,10442,7264,2908,270,1659,135,1,83799,"536,315",119.2,-34.96,138.566
5038,2636,7104,34.9,13669,10615,3054,0,2476,160,0,94748,"606,390",133.9,-34.9686804,138.541234
5039,1739,3258,45.9,14571,6553,5517,2501,1497,240,2,99122,"634,383",141.8,-34.972,138.578
5040,494,1108,41.2,2820,2066,754,0,456,38,0,16303,"104,341",23.0,-34.9645281,138.5312279
5041,2374,4701,45.8,13091,9614,3232,245,2151,222,1,105156,"673,001",148.7,-34.9823579,138.5962997
5042,2071,5046,37.9,16861,8226,3400,5235,1914,154,3,100189,"641,211",141.8,-35.021,138.568
5043,3375,8326,38.6,17193,13584,3269,340,3215,158,2,115618,"739,955",163.3,-34.988318,138.559096
5044,2206,5441,35.9,13053,8540,4183,330,1955,250,1,75263,"481,685",106.6,-34.983333,138.533333
5045,2331,6635,30.9,14027,9069,4681,277,2053,277,1,92034,"589,018",129.8,-34.982,138.516
5046,1619,4952,31.0,9319,6609,1372,1338,1534,82,3,61115,"391,133",86.3,-35.014,138.545
5047,1646,4311,36.4,7819,6611,1208,0,1568,78,0,48198,"308,465",68.0,-35.03,138.557
5048,3050,7045,40.0,15518,11669,3649,200,2816,233,1,92243,"590,355",130.1,-35.019,138.52
5049,2263,4170,49.8,11269,8797,2472,0,2078,185,0,62141,"397,702",87.7,-35.0376785,138.5174726
5050,1229,2482,45.6,6074,4779,1295,0,1133,96,0,37472,"239,822",52.9,-35.033,138.587
5051,3181,5444,52.6,17265,12933,4332,0,2863,318,0,89783,"574,609",123.6,-35.022684,138.6163371
5052,1275,2638,42.5,7201,5100,2101,0,1121,154,0,42334,"270,938",58.3,-34.998118,138.62254
5061,1759,3527,40.3,12239,6732,5507,0,1422,337,0,74270,"475,330",101.6,-34.955,138.6
5062,3001,5177,49.2,18814,11744,6948,122,2549,451,1,104105,"666,270",143.4,-34.987,138.653
5063,1869,4808,33.8,11895,7048,4647,200,1623,245,1,73721,"471,816",100.9,-34.942,138.621
5064,2006,3911,43.2,13224,7923,5301,0,1691,315,0,73382,"469,647",101.1,-34.9600124,138.6501667
5065,1825,5139,30.4,11274,7058,4059,157,1561,263,1,87581,"560,522",120.1,-34.936,138.63
5066,2446,5007,40.7,15327,9729,5598,0,2039,407,0,74601,"477,445",102.7,-34.951,138.661
5067,1520,4653,27.0,10906,5730,5176,0,1257,263,0,88140,"564,098",120.6,-34.919,138.643
5068,2058,5910,29.7,13099,7910,5189,0,1758,300,0,80853,"517,459",110.7,-34.931,138.648
5069,1517,3396,37.3,10137,5663,4474,0,1267,250,0,64654,"413,789",88.8,-34.913,138.622
5070,2502,6194,35.8,15348,9581,5175,592,2215,284,3,101403,"648,978",139.1,-34.891,138.644
5072,2604,5683,40.4,15691,10727,4964,0,2298,306,0,89300,"571,517",123.1,-34.918,138.685
5073,2963,6034,44.3,16466,12451,4015,0,2676,287,0,97805,"625,950",133.9,-34.8929224,138.6652086
5074,2504,5425,42.2,14562,10341,4047,174,2288,215,1,92396,"591,334",126.7,-34.878,138.663
5075,2174,4511,45.5,10667,8714,1953,0,2052,122,0,69098,"442,230",94.5,-34.861,138.683
5076,1904,3669,48.1,10046,7938,1909,199,1766,137,1,59148,"378,545",81.4,-34.87,138.703
5081,1787,3991,37.7,11774,7206,4568,0,1506,281,0,64775,"414,557",88.7,-34.8872207,138.6125795
5082,2599,5670,39.8,15436,9922,5514,0,2255,344,0,105492,"675,149",144.4,-34.897,138.59
5083,1307,3599,32.8,7091,5200,1891,0,1179,128,0,47060,"301,183",64.4,-34.873,138.614
5084,1430,3892,33.5,10816,5849,3196,1771,1305,121,4,76274,"488,151",104.4,-34.861,138.597
5085,4646,9953,44.2,23482,19080,4024,378,4397,247,2,112746,"721,576",154.3,-34.859,138.617
5086,3444,7199,45.0,17799,14218,3362,219,3240,203,1,99704,"638,105",136.5,-34.85025,138.659
5087,2204,5066,40.7,11982,9289,2393,300,2063,140,1,77545,"496,287",106.5,-34.882,138.636
5088,754,1448,47.6,4809,3106,1703,0,689,65,0,31170,"199,490",43.1,-34.8531022,138.6714773
5089,1412,2664,48.7,7326,5747,1579,0,1298,114,0,41514,"265,691",56.8,-34.8491256,138.7342029
5090,1744,3546,47.0,9090,6201,1371,1518,1668,75,1,51510,"329,664",70.3,-34.8451,138.697
5091,1634,2992,51.1,7924,6432,1492,0,1528,106,0,50717,"324,587",69.4,-34.8090822,138.7316925
5092,3671,7237,48.8,17057,14498,2559,0,3529,142,0,119572,"765,261",163.6,-34.833333,138.683333
5093,1975,3655,52.7,8402,7624,778,0,1925,50,0,55877,"357,611",76.5,-34.826667,138.665
5094,363,396,53.3,10587,859,6282,3446,211,149,3,116173,"743,507",163.4,-34.828,138.598
5095,3882,8488,41.9,26973,15264,7106,4603,3560,318,4,150847,"965,420",208.1,-34.8111486,138.6149026
5096,3098,5798,50.3,15269,11993,3078,198,2915,182,1,99744,"638,364",137.0,-34.796,138.667
5097,2888,5490,50.1,13358,11110,2248,0,2751,137,0,89836,"574,949",123.1,-34.812524,138.706595
5098,2905,4982,56.7,12386,11114,1272,0,2825,80,0,77855,"498,272",106.7,-34.823,138.646
5107,3895,6891,54.2,19452,16220,3232,0,3737,158,0,108541,"694,664",151.6,-34.79575,138.60437
5108,7772,16889,44.1,38395,31933,6462,0,7454,318,0,236139,"1,511,292",328.7,-34.756944,138.611389
5109,4440,8938,47.0,21749,17213,4305,231,4197,242,1,140030,"896,192",195.1,-34.775,138.655
5110,1906,3676,44.9,14716,7447,7269,0,1652,254,0,258025,"1,651,361",360.0,-34.775,138.589
5112,3297,9019,34.7,24903,13065,3884,7954,3132,159,6,162803,"1,041,937",228.1,-34.72,138.673
5113,2909,8816,31.3,16505,11956,3449,1100,2762,144,3,130238,"833,523",182.3,-34.691389,138.668056
5114,7315,14637,46.9,39377,30957,6988,1432,6870,443,2,234292,"1,499,467",325.9,-34.672,138.667
5115,2197,5795,34.7,13208,10330,2637,241,2012,184,1,86819,"555,644",120.6,-34.6438424,138.7040858
5116,2355,5073,42.9,13726,9673,2896,1157,2177,176,2,73228,"468,661",101.8,-34.616111,138.731667
5117,1351,1195,91.8,9680,5854,3692,134,1097,253,1,35137,"224,876",48.8,-34.6416029,138.6539268
5118,4662,8355,50.0,27928,18508,8310,1110,4174,486,2,181417,"1,161,072",253.0,-34.6383421,138.7661021
5120,927,764,81.5,11790,3371,7182,1237,623,302,2,286435,"1,833,182",397.8,-34.6457618,138.5102836
5121,733,885,68.8,5806,3040,2766,0,609,124,0,98608,"631,090",137.1,-34.6946,138.655
5125,4394,8214,49.8,22907,17075,4831,1001,4090,303,1,140149,"896,956",195.4,-34.7838889,138.7061111
5126,1466,3024,46.0,7068,5905,1163,0,1391,75,0,48000,"307,203",66.8,-34.7999009,138.7316925
5127,1694,3293,49.7,7395,6563,832,0,1635,59,0,48555,"310,751",67.5,-34.7996704,138.686525
5131,256,356,61.5,1514,1009,505,0,219,37,0,14154,"90,583",19.4,-34.829,138.761
5132,114,180,47.8,1088,409,679,0,86,28,0,8317,"53,230",11.4,-34.8472894,138.7743842
5133,108,139,65.5,668,389,279,0,91,17,0,5513,"35,282",7.5,-34.800439,138.7944857
5134,107,184,51.1,670,402,268,0,94,13,0,6366,"40,744",8.8,-34.911944,138.765278
5136,125,191,52.4,782,427,355,0,100,25,0,6457,"41,328",8.9,-34.9174787,138.7442455
5137,144,237,46.0,1327,510,817,0,109,35,0,9008,"57,651",12.4,-34.939722,138.737222
5138,84,132,45.5,759,292,467,0,60,24,0,4335,"27,747",6.0,-34.929881,138.7743842
5139,100,161,47.8,984,350,634,0,77,23,0,4504,"28,826",6.2,-34.9239285,138.8045391
5140,108,170,55.3,572,392,180,0,94,14,0,4989,"31,929",6.9,-34.9526096,138.7015768
5141,200,265,65.3,1114,746,368,0,173,27,0,7573,"48,469",10.4,-34.9376057,138.7040858
5142,157,240,52.9,1138,562,576,0,127,30,0,7180,"45,955",9.9,-34.9599982,138.7417347
5144,104,174,48.9,707,360,347,0,85,19,0,6327,"40,493",8.7,-34.966565,138.7743842
5151,82,144,46.5,556,294,262,0,67,15,0,4470,"28,609",6.1,-34.9788,138.732
5152,1084,2511,35.4,7279,4096,3183,0,888,196,0,49471,"316,613",68.1,-34.9701208,138.6940504
5153,1835,2575,58.1,12565,6879,5686,0,1497,338,0,86560,"553,987",119.0,-35.0727667,138.7819214
5154,602,1257,39.3,3840,2343,1497,0,494,108,0,24842,"158,992",34.2,-35.0183091,138.7442455
5155,763,1625,41.5,4170,2970,1200,0,674,89,0,24861,"159,112",34.2,-35.0123998,138.7743842
5156,153,434,31.6,816,612,204,0,137,16,0,7641,"48,906",10.5,-35.015,138.686
5157,868,1139,66.4,5180,3428,1752,0,756,112,0,48691,"311,623",67.0,-35.297727,138.7549178
5158,5887,10273,55.1,25766,22585,3181,0,5659,228,0,153329,"981,303",216.3,-35.077,138.502
5159,7463,13173,53.7,34397,28434,5813,150,7068,394,1,212640,"1,360,896",292.9,-35.067,138.6
5161,2328,4595,49.0,10274,8499,1775,0,2251,77,0,72425,"463,521",102.4,-35.0966681,138.541234
5162,7737,16050,46.5,35193,29519,4730,944,7460,275,2,218136,"1,396,071",307.6,-35.118,138.529
5163,3294,6281,50.0,15555,13035,2520,0,3139,155,0,101672,"650,700",143.7,-35.158916,138.5262256
5164,883,2815,30.3,3978,3238,740,0,852,31,0,30394,"194,521",42.8,-35.1281692,138.496221
5165,933,2991,29.1,4882,3460,1202,220,869,63,1,35838,"229,362",50.5,-35.1335313,138.476227
5166,422,1007,40.2,1746,1489,257,0,405,17,0,17083,"109,333",24.3,-35.1198409,138.476227
5167,1388,2460,53.8,6181,5243,938,0,1324,64,0,37136,"237,667",52.4,-35.1472196,138.476227
5168,1412,2547,52.0,9218,5543,1891,1784,1324,87,1,51771,"331,335",73.1,-35.14,138.493
5169,4521,7917,53.3,23690,18809,4612,269,4217,302,2,112143,"717,715",158.4,-35.198,138.473
5170,335,539,59.6,1482,1277,205,0,321,14,0,8709,"55,735",12.3,-35.2301549,138.4837239
5171,1925,2584,64.9,13719,6890,5442,1387,1676,246,3,84469,"540,604",116.2,-35.1654325,138.6153977
5172,1275,1696,66.0,7186,4720,2466,0,1120,155,0,65430,"418,750",88.7,-35.2603018,138.6439004
5173,3338,6137,51.4,17108,12604,2986,1518,3154,183,1,95231,"609,477",134.5,-35.267,138.483
5174,844,1587,49.1,4233,3347,886,0,780,64,0,27523,"176,147",38.8,-35.33,138.448
5201,619,895,57.8,4129,2400,1729,0,517,102,0,32497,"207,983",43.9,-35.2528748,138.714123
5202,284,419,56.1,2872,1118,961,793,235,48,1,19558,"125,174",26.6,-35.3966443,138.5950968
5203,416,609,60.9,2398,1464,934,0,371,45,0,26821,"171,655",37.0,-35.4826434,138.3891503
5204,1561,2908,50.5,7704,6128,1576,0,1468,93,0,54974,"351,834",78.2,-35.6061701,138.1154046
5210,566,702,70.9,3211,2149,1062,0,498,68,0,23709,"151,740",32.1,-35.3594672,138.6197818
5211,5625,10599,50.0,25969,19906,5922,141,5297,327,1,180222,"1,153,418",244.2,-35.5412823,138.4965335
5212,909,1437,60.1,3785,2886,899,0,864,45,0,29419,"188,281",39.9,-35.5257653,138.67708
5213,555,1328,39.8,2612,2237,375,0,528,27,0,19460,"124,542",26.3,-35.4834441,138.7091042
5214,3786,6497,55.1,17165,13658,3507,0,3577,209,0,105619,"675,962",142.9,-35.4373405,138.7586849
5220,41,72,54.2,167,136,31,0,39,2,0,2685,"17,182",3.5,-35.7823,137.256
5221,136,281,45.9,646,534,112,0,129,7,0,5015,"32,096",6.5,-35.778333,137.772778
5222,296,663,43.3,1340,1177,163,0,287,9,0,14639,"93,690",19.1,-35.7689316,137.8807893
5223,847,2231,34.2,4798,3239,1559,0,764,83,0,76771,"491,336",100.2,-35.6082756,137.5619241
5231,327,494,57.5,2053,1253,800,0,284,43,0,16523,"105,748",22.9,-34.823333,138.831667
5232,118,158,53.2,922,357,565,0,84,34,0,6659,"42,620",9.1,-34.8562147,138.8296806
5233,380,555,55.0,2915,1392,1523,0,305,75,0,24317,"155,630",33.4,-34.8,138.9
5234,364,525,61.0,2146,1381,765,0,320,44,0,18717,"119,790",26.0,-34.821959,138.9706803
5235,726,1296,50.8,3893,2697,1196,0,658,68,0,46470,"297,406",64.7,-34.7654503,138.9711397
5236,82,175,44.6,386,336,50,0,78,4,0,6360,"40,706",8.8,-34.8681641,139.0615086
5237,102,154,63.6,17299,412,33,16854,98,3,1,8983,"57,490",12.5,-34.8608897,139.2051874
5238,1702,3219,49.4,15809,6632,2089,7088,1589,111,2,83733,"535,894",116.5,-34.754592,139.3084625
5240,171,204,58.3,1809,597,1212,0,119,52,0,9905,"63,393",13.6,-34.9138333,138.8246514
5241,591,951,52.3,4385,2210,2175,0,497,94,0,29484,"188,700",40.6,-34.9094528,138.8699303
5242,423,671,52.2,4163,1598,1457,1108,350,72,1,20281,"129,798",27.9,-34.9893754,138.827385
5243,217,351,47.9,1847,816,1031,0,168,49,0,14019,"89,720",19.3,-34.9746306,138.8498018
5244,1126,1776,54.4,7409,4325,3084,0,966,160,0,58914,"377,047",81.0,-34.916667,138.9
5245,756,1310,48.0,5454,2951,2247,256,629,126,1,37860,"242,306",52.0,-35.0258566,138.809318
5250,860,1536,48.2,5736,3455,2281,0,740,120,0,33878,"216,820",46.9,-35.05,138.883333
5251,4430,7268,52.4,29978,18686,10721,571,3809,618,3,128101,"819,845",173.5,-35.1248526,138.8507452
5252,1493,2924,46.8,8218,6016,2202,0,1367,126,0,54378,"348,021",73.5,-35.0014967,138.9426412
5253,4417,9757,41.2,37026,17624,7943,11459,4024,390,3,227435,"1,455,583",308.2,-35.0900807,139.310765
5254,876,1215,64.0,24621,3462,2263,18896,778,93,5,69529,"444,985",94.4,-35.0380696,139.1625989
5255,2817,4424,56.8,17069,11151,5525,393,2514,301,2,125067,"800,426",169.0,-35.3466735,138.9815531
5256,584,1202,45.5,2669,2204,465,0,547,37,0,22141,"141,700",29.9,-35.4894258,138.919968
5259,409,805,45.2,3094,1699,936,459,364,43,2,38218,"244,597",51.5,-35.5055433,139.3761523
5260,471,951,45.4,129795,1736,821,127238,432,38,1,35596,"227,815",48.1,-35.3064118,139.5076392
5261,65,211,28.4,399,283,116,0,60,5,0,18928,"121,137",25.5,-35.3780871,139.5596677
5262,77,207,30.9,640,383,257,0,64,13,0,19005,"121,635",23.9,-36.7998876,140.8480519
5263,38,85,32.9,656,159,497,0,28,10,0,8511,"54,469",10.7,-37.294215,140.8248263
5264,349,681,46.1,2160,1448,712,0,314,35,0,28295,"181,085",38.3,-35.9442511,139.4983605
5265,91,237,34.2,6508,392,207,5909,81,9,1,15246,"97,572",20.6,-35.695866,139.8586767
5266,159,313,45.0,1021,702,319,0,141,18,0,20180,"129,150",27.2,-36.1640404,139.9801574
5267,428,902,42.4,2686,1882,804,0,382,46,0,56613,"362,320",71.1,-36.187555,140.4888622
5268,759,1587,42.8,4823,3207,1478,138,679,79,1,67228,"430,258",84.4,-36.5814995,140.8802777
5269,47,116,33.6,324,217,107,0,39,8,0,9653,"61,780",13.0,-36.4653714,140.9291052
5270,147,263,49.8,908,625,283,0,131,16,0,20996,"134,377",26.3,-36.3303041,140.6302863
5271,1406,3546,35.2,14091,6344,3078,4669,1249,156,1,124056,"793,960",155.9,-37.1507129,140.7121379
5272,143,424,30.2,913,625,288,0,128,15,0,30795,"197,091",38.6,-37.2497413,140.5150612
5273,13,66,19.7,53,53,0,0,13,0,0,4795,"30,689",6.0,-36.9687089,140.1420882
5275,611,1781,31.7,3506,2587,919,0,564,47,0,53963,"345,364",67.7,-36.7780064,140.0459521
5276,415,1619,22.9,2561,1775,786,0,371,44,0,30211,"193,348",38.0,-37.1775909,139.922065
5277,517,1360,34.0,3540,2240,1300,0,463,54,0,59216,"378,985",74.6,-37.2106036,140.8980026
5278,91,250,32.8,550,401,149,0,82,9,0,13317,"85,227",16.7,-37.5627956,140.6959169
5279,95,252,35.3,545,400,145,0,89,6,0,6536,"41,830",8.2,-37.6146137,140.6368106
5280,1570,3955,36.9,8869,6982,1887,0,1461,109,0,119398,"764,150",150.0,-37.4880886,140.0132671
5290,3092,11678,24.3,19298,12963,5706,629,2842,249,1,0,0,0.0,-37.8256039,140.7712393
5291,1690,4245,34.2,12828,7522,4734,572,1452,236,2,115931,"741,960",145.3,-37.9935695,140.6649339
5301,132,387,32.0,780,608,172,0,124,8,0,26826,"171,687",36.2,-35.5758811,140.0703365
5302,201,461,38.6,1167,788,379,0,178,23,0,25861,"165,509",34.9,-35.2933024,140.4776685
5303,38,102,30.4,453,152,115,186,31,6,1,9659,"61,820",14.1,-35.2849868,140.7208989
5304,137,418,31.3,703,576,127,0,131,6,0,22674,"145,111",33.0,-35.0906,140.665
5307,157,311,47.3,839,649,190,0,147,10,0,16472,"105,420",22.2,-35.0950553,139.8857698
5308,29,84,33.3,148,137,11,0,28,1,0,7872,"50,380",10.9,-34.793,139.847
5309,25,91,24.2,133,99,34,0,22,3,0,7715,"49,379",10.7,-35.0241489,140.05755
5310,7,79,7.6,39,28,11,0,6,1,0,2984,"19,095",4.1,-34.6348765,140.2694577
5311,66,213,30.5,319,306,13,0,65,1,0,25725,"164,640",37.4,-34.7496856,140.40678
5320,377,1311,26.1,14367,1571,794,12002,342,33,2,24203,"154,896",33.7,-34.0181332,139.4416527
5321,124,324,32.4,2111,477,314,1320,105,13,6,9926,"63,524",13.8,-34.0590171,139.7789467
5322,263,536,45.3,2733,1112,374,1247,243,18,2,18581,"118,921",25.8,-34.1996891,139.9315639
5330,994,1616,53.9,6461,3743,2521,197,871,122,1,58998,"377,586",82.2,-34.3913177,140.0736829
5331,106,167,54.5,725,410,315,0,91,15,0,6772,"43,340",9.4,-34.2231267,140.3172249
5332,131,239,51.9,1165,574,156,435,124,5,2,8789,"56,249",12.2,-34.3271533,140.3543693
5333,1611,2624,54.6,14239,6690,4019,3530,1434,161,16,101585,"650,141",141.6,-34.347558,140.6006227
5340,396,680,50.7,9821,1697,949,7175,345,43,8,24422,"156,299",35.6,-34.2219527,140.8104966
5341,1970,3477,49.0,18238,8559,5846,3833,1703,249,18,109275,"699,359",159.8,-33.7939769,140.5745723
5342,314,501,51.9,5315,1369,844,3102,260,48,6,21573,"138,068",31.4,-34.2003327,140.5756887
5343,1191,2289,45.1,10680,5150,3651,1879,1032,156,3,66307,"424,366",97.1,-34.2770452,140.6077318
5344,214,445,41.6,1577,1035,542,0,185,29,0,24262,"155,275",35.3,-34.2730065,140.5446161
5345,948,1740,48.8,6246,4265,1553,428,849,97,2,45855,"293,474",63.8,-34.2527017,140.4648838
5346,84,164,47.0,544,398,146,0,77,7,0,5960,"38,147",8.3,-34.2374624,140.4153139
5350,167,192,66.7,1408,605,803,0,128,39,0,8854,"56,663",12.3,-34.5520511,138.84771
5351,1641,2443,60.0,8988,6433,2555,0,1466,175,0,72516,"464,102",100.9,-34.6013631,138.9152456
5352,1433,2415,50.8,13845,5371,4433,4041,1227,200,6,81612,"522,316",113.8,-34.547068,138.9858082
5353,1063,2129,44.2,17648,4081,2340,11227,941,118,4,82186,"525,989",114.7,-34.503519,139.0505472
5354,200,456,41.7,1923,709,325,889,190,9,1,13231,"84,681",18.4,-34.5748482,139.847075
5355,2158,3672,52.0,15213,8380,5594,1239,1910,245,3,116060,"742,782",162.0,-34.4733985,138.8765197
5356,204,529,36.3,1075,895,180,0,192,12,0,18210,"116,545",25.3,-34.3976163,139.3685419
5357,213,621,30.9,3072,828,634,1610,192,19,2,12535,"80,225",17.4,-34.357394,139.6193903
5360,306,448,60.9,1760,1200,560,0,273,33,0,12842,"82,186",17.9,-34.457778,138.9275
5371,373,441,71.9,2817,1469,1164,184,317,55,1,28262,"180,877",39.5,-34.4153843,138.7560697
5372,649,1050,55.6,3795,2817,978,0,584,65,0,23723,"151,829",33.0,-34.4378904,138.8196226
5373,940,1678,52.4,5478,3589,1240,649,880,59,1,50476,"323,045",70.3,-34.278776,138.9130419
5374,401,775,47.2,2613,1642,971,0,366,35,0,44398,"284,147",61.7,-34.0864229,139.1703467
5381,102,212,44.8,13773,380,149,13244,95,5,2,14347,"91,822",19.9,-33.9769307,139.0195639
5400,258,310,73.5,1763,1105,427,231,228,29,1,21580,"138,113",29.9,-34.4134,138.713
5401,183,341,49.6,1021,749,272,0,169,14,0,17082,"109,323",23.8,-34.2455146,138.6247926
5410,78,158,43.7,476,283,193,0,69,9,0,6873,"43,985",9.5,-34.3912364,138.7278967
5411,78,123,59.3,398,308,90,0,73,5,0,6796,"43,493",9.4,-34.2217631,138.7168116
5412,338,623,49.6,1846,1200,646,0,309,29,0,23141,"148,100",32.2,-34.1465459,138.739224
5413,217,456,43.4,1155,838,317,0,198,19,0,27635,"176,865",38.4,-33.928729,138.9394916
5414,30,82,35.4,137,124,13,0,29,1,0,6269,"40,124",8.7,-33.9941359,138.8196226
5415,58,169,30.2,362,248,114,0,51,7,0,8015,"51,299",11.2,-33.9279192,138.7470703
5416,60,113,48.7,309,251,58,0,55,5,0,6701,"42,883",9.3,-33.827041,138.817737
5417,374,836,41.3,2136,1591,545,0,345,29,0,40482,"259,085",56.3,-33.6649,139.848
5418,29,77,37.7,126,126,0,0,29,0,0,4766,"30,503",6.6,-33.4001502,139.2193751
5419,56,118,44.9,299,265,34,0,53,3,0,11127,"71,211",15.5,-33.3522796,138.7536186
5421,26,91,28.6,130,130,0,0,26,0,0,4149,"26,553",5.8,-33.1453299,139.1053928
5422,440,1086,37.7,7725,1636,456,5633,409,30,1,36220,"231,810",50.5,-32.6660252,139.0595961
5431,270,483,51.6,1612,1086,526,0,249,21,0,27059,"173,180",37.6,-32.6053397,138.3512994
5432,62,75,81.3,255,238,17,0,61,1,0,5834,"37,337",8.9,-31.9511,139.195
5433,436,749,56.5,2096,1845,251,0,423,13,0,23958,"153,332",36.8,-32.4604173,138.1981728
5434,105,487,20.3,505,394,111,0,99,6,0,11178,"71,541",17.2,-31.8066309,138.2629597
5440,36,96,24.0,340,93,247,0,23,13,0,14009,"89,659",21.9,-32.2165,140.317
5451,217,443,44.5,1251,827,424,0,197,20,0,7989,"51,127",11.1,-34.027222,138.685556
5452,119,196,49.0,1029,433,596,0,96,23,0,8674,"55,511",12.0,-33.9800373,138.6336686
5453,1271,2428,45.4,8841,5129,3712,0,1102,169,0,81822,"523,663",113.8,-33.8353016,138.5722017
5454,78,194,36.6,495,340,155,0,71,7,0,13942,"89,228",19.4,-33.638958,138.6071903
5460,191,307,58.0,1300,787,513,0,178,13,0,20586,"131,749",28.6,-34.383667,138.5978648
5461,697,1140,55.4,4305,2560,1342,403,632,64,1,51615,"330,338",72.0,-34.1464245,138.4187053
5462,134,232,56.5,648,574,74,0,131,3,0,8383,"53,652",11.7,-33.8470065,138.4587382
5464,120,314,35.0,714,521,193,0,110,10,0,24552,"157,131",34.1,-33.68676,138.5654534
5470,31,78,35.9,155,112,43,0,28,3,0,4901,"31,368",6.8,-33.5670227,138.4987208
5472,52,91,51.6,316,232,84,0,47,5,0,5355,"34,275",7.4,-33.3859808,138.4187846
5473,217,402,49.0,1088,796,292,0,197,20,0,18601,"119,049",25.9,-33.2698212,138.3523636
5480,293,427,63.5,1581,1115,466,0,271,22,0,18865,"120,737",26.2,-33.0364521,138.4403184
5481,187,362,46.1,1088,733,355,0,167,20,0,16221,"103,817",22.5,-32.9500585,138.1599529
5482,147,317,43.2,858,621,237,0,137,10,0,16692,"106,829",23.2,-32.8593312,138.3589086
5483,85,189,43.4,424,343,81,0,82,3,0,9936,"63,591",13.8,-32.8051307,138.1796732
5485,185,282,61.7,986,824,162,0,174,11,0,12943,"82,837",18.0,-32.6132039,138.1200592
5490,48,98,44.9,276,200,76,0,44,4,0,6645,"42,525",9.2,-33.1975464,138.4702926
5491,539,967,48.7,3472,2052,1420,0,471,68,0,41323,"264,470",57.6,-33.2216175,138.7173724
5493,27,52,48.1,2762,91,10,2661,25,1,1,1834,"11,735",2.5,-33.0286337,138.7442455
5495,234,492,45.3,10130,1051,147,8932,223,10,1,13505,"86,434",18.8,-32.8989385,138.0162487
