Name,State,Latitude,Longitude
Caracas,Venezuela,10.4806,-66.9036
Maracaibo,Venezuela,10.6427,-71.6125
Valencia,Venezuela,10.1579,-67.9927
Mexico_City,Mexico,19.422804,-99.129631
Zhengzhou,China,34.756545,113.686424
Lahore,Pakistan,31.519601,74.370776
Durham,England,54.767273,-1.5687486
San_Jaun,Puerto_Rico,18.371388,-66.123175
Santa_Clarita,California,34.387461,-118.534802
Fresno,California,36.7378,-119.7871
Sacramento,California,38.5816,-121.4911
Redding,California,40.5865,-122.3917
Montreal,Canada,45.493144,-73.560738
Reykjavik,Iceland,64.117009,-21.82895
Beijing,China,39.154649,116.533129
Guangzhou,China,23.106849,113.288508
Chengdu,China,30.636373,104.16887
London,England,51.542710,-0.010573
Rio,Brazil,-22.917613,-43.178719
Tokyo,Japan,35.667202,139.775831
Porto_Velho,Brazil,-8.723469,64.01358
