postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,Lat_precise,Long_precise
3000,75,641,5.6,1688,171,1517,0,36,39,0,117652,"752,976",145.5,-37.8152065,144.963937
3002,79,708,9.3,683,277,406,0,66,13,0,23720,"151,809",29.2,-37.8161444,144.9804594
3003,108,851,9.4,1506,338,1168,0,80,28,0,67817,"434,028",84.5,-37.8114504,144.9253974
3006,41,362,3.0,2068,62,1098,908,11,25,5,45170,"289,086",55.9,-37.825,144.952
3008,107,213,36.6,2169,176,1332,661,78,27,2,43764,"280,088",54.3,-37.8170652,144.9419122
3011,971,6304,14.1,5795,3386,2409,0,886,85,0,108622,"695,182",134.5,-37.7988987,144.892357
3012,1558,10534,13.6,9806,5761,3845,200,1428,129,1,269117,"1,722,349",337.7,-37.8173492,144.8465361
3013,1052,6242,16.0,5270,4031,1239,0,999,53,0,88707,"567,726",111.7,-37.819811,144.8813738
3015,1213,7359,15.7,6171,4549,1244,378,1152,60,1,118341,"757,383",148.4,-37.842,144.884
3016,1126,5936,17.4,5964,4053,1911,0,1030,96,0,102060,"653,182",128.4,-37.861,144.885
3018,1322,6425,19.1,7924,4384,3363,177,1225,96,1,135695,"868,446",170.3,-37.8631512,144.8120218
3019,593,4487,12.3,3876,2225,1250,401,553,39,1,65027,"416,171",80.0,-37.7903679,144.8566207
3020,3481,17272,18.7,21577,11944,8182,1451,3222,256,3,382940,"2,450,816",477.7,-37.7755151,144.8154448
3021,4158,19939,20.5,19119,17046,1598,475,4092,64,2,277602,"1,776,656",342.2,-37.746,144.765
3022,231,1387,16.0,1152,813,339,0,222,9,0,20136,"128,873",25.3,-37.7776716,144.7988921
3023,6953,22760,29.4,37431,28407,6666,2358,6684,264,5,367514,"2,352,090",460.8,-37.753,144.754
3024,4685,10453,43.6,25961,23362,1961,638,4558,125,2,133253,"852,819",171.8,-37.7472,144.649
3025,856,5208,14.7,8194,2999,3330,1865,764,88,4,177332,"1,134,922",224.0,-37.8388686,144.8346241
